Genre Name,Count,Link
christian-contemporary-fiction,5015,https://www.goodreads.com/genres/christian-contemporary-fiction
christian-fantasy,18687,https://www.goodreads.com/genres/christian-fantasy
christian-fantasy-dystopian,1161,https://www.goodreads.com/genres/christian-fantasy-dystopian
christian-fiction,495959,https://www.goodreads.com/genres/christian-fiction
christian-fiction-amish,1296,https://www.goodreads.com/genres/christian-fiction-amish
christian-historical-fiction,25877,https://www.goodreads.com/genres/christian-historical-fiction
christianity,424410,https://www.goodreads.com/genres/christianity
christian-living,166592,https://www.goodreads.com/genres/christian-living
christian-non-fiction,96313,https://www.goodreads.com/genres/christian-non-fiction
christian-romance,75156,https://www.goodreads.com/genres/christian-romance
christian-romance-historical,2118,https://www.goodreads.com/genres/christian-romance-historical
christmas,607742,https://www.goodreads.com/genres/christmas
chupacabra,484,https://www.goodreads.com/genres/chupacabra
church,100899,https://www.goodreads.com/genres/church
church-history,55790,https://www.goodreads.com/genres/church-history
church-ministry,7294,https://www.goodreads.com/genres/church-ministry
cinderella,19255,https://www.goodreads.com/genres/cinderella
cisgender,1172,https://www.goodreads.com/genres/cisgender
cities,62745,https://www.goodreads.com/genres/cities
civil-war,126580,https://www.goodreads.com/genres/civil-war
civil-war-confederacy,480,https://www.goodreads.com/genres/civil-war-confederacy
civil-war-eastern-theater,1165,https://www.goodreads.com/genres/civil-war-eastern-theater
civil-war-history,7310,https://www.goodreads.com/genres/civil-war-history
civil-war-navy,1141,https://www.goodreads.com/genres/civil-war-navy
civil-war-western-theater,615,https://www.goodreads.com/genres/civil-war-western-theater
class,249878,https://www.goodreads.com/genres/class
classical-music,6605,https://www.goodreads.com/genres/classical-music
classical-studies,45974,https://www.goodreads.com/genres/classical-studies
classic-literature,463364,https://www.goodreads.com/genres/classic-literature
classics,6266496,https://www.goodreads.com/genres/classics
class-issues,33966,https://www.goodreads.com/genres/class-issues
clean-romance,128152,https://www.goodreads.com/genres/clean-romance
climate-change,28905,https://www.goodreads.com/genres/climate-change
climate-change-denial,499,https://www.goodreads.com/genres/climate-change-denial
climate-change-fiction,1108,https://www.goodreads.com/genres/climate-change-fiction
climbing,10654,https://www.goodreads.com/genres/climbing
cocktails,2788,https://www.goodreads.com/genres/cocktails
coding,20537,https://www.goodreads.com/genres/coding
coin-collecting,149,https://www.goodreads.com/genres/coin-collecting
collections,339014,https://www.goodreads.com/genres/collections
college,716414,https://www.goodreads.com/genres/college
colouring-books,6549,https://www.goodreads.com/genres/colouring-books
comedian,2800,https://www.goodreads.com/genres/comedian
comedy,652362,https://www.goodreads.com/genres/comedy
comic-book,142951,https://www.goodreads.com/genres/comic-book
comic-fantasy,18190,https://www.goodreads.com/genres/comic-fantasy
comics,3684462,https://www.goodreads.com/genres/comics
comic-science-fiction,1224,https://www.goodreads.com/genres/comic-science-fiction
comics-manga,174135,https://www.goodreads.com/genres/comics-manga
comic-strips,22008,https://www.goodreads.com/genres/comic-strips
coming-of-age,651614,https://www.goodreads.com/genres/coming-of-age
comix,105383,https://www.goodreads.com/genres/comix
communication,92444,https://www.goodreads.com/genres/communication
comoros,566,https://www.goodreads.com/genres/comoros
complementary-medicine,1721,https://www.goodreads.com/genres/complementary-medicine
computation,3833,https://www.goodreads.com/genres/computation
computer-reference,1427,https://www.goodreads.com/genres/computer-reference
computers,71184,https://www.goodreads.com/genres/computers
computer-science,107779,https://www.goodreads.com/genres/computer-science
conflict-of-interest,478,https://www.goodreads.com/genres/conflict-of-interest
conservation,18443,https://www.goodreads.com/genres/conservation
conspiracy-theories,17757,https://www.goodreads.com/genres/conspiracy-theories
consumer-economics,445,https://www.goodreads.com/genres/consumer-economics
contemporary,5816281,https://www.goodreads.com/genres/contemporary
contemporary-romance,1916336,https://www.goodreads.com/genres/contemporary-romance
contemporary-romance-clean,164,https://www.goodreads.com/genres/contemporary-romance-clean
cookbooks,688561,https://www.goodreads.com/genres/cookbooks
cooking,337947,https://www.goodreads.com/genres/cooking
coptic-language,453,https://www.goodreads.com/genres/coptic-language
coptology,123,https://www.goodreads.com/genres/coptology
copts,548,https://www.goodreads.com/genres/copts
costume-history,1334,https://www.goodreads.com/genres/costume-history
counselling,18652,https://www.goodreads.com/genres/counselling
counter-culture,13686,https://www.goodreads.com/genres/counter-culture
counting,21994,https://www.goodreads.com/genres/counting
couture,846,https://www.goodreads.com/genres/couture
cozy-mystery,436331,https://www.goodreads.com/genres/cozy-mystery
crafts,90962,https://www.goodreads.com/genres/crafts
creation-science,1149,https://www.goodreads.com/genres/creation-science
crime,1926270,https://www.goodreads.com/genres/crime
criticism,213678,https://www.goodreads.com/genres/criticism
crochet,17431,https://www.goodreads.com/genres/crochet
cross-dressing,12081,https://www.goodreads.com/genres/cross-dressing
cryonics,807,https://www.goodreads.com/genres/cryonics
cryptids,5645,https://www.goodreads.com/genres/cryptids
cryptozoology,7027,https://www.goodreads.com/genres/cryptozoology
cthulhu-mythos,11413,https://www.goodreads.com/genres/cthulhu-mythos
cuisine,12292,https://www.goodreads.com/genres/cuisine
culinary,37465,https://www.goodreads.com/genres/culinary
cult-classics,62483,https://www.goodreads.com/genres/cult-classics
cults,34858,https://www.goodreads.com/genres/cults
cultural,498480,https://www.goodreads.com/genres/cultural
cultural-heritage,3369,https://www.goodreads.com/genres/cultural-heritage
cultural-studies,143920,https://www.goodreads.com/genres/cultural-studies
curation,675,https://www.goodreads.com/genres/curation
currency,1046,https://www.goodreads.com/genres/currency
cw-bentonville,8,https://www.goodreads.com/genres/cw-bentonville
cw-iuka-corinth,5,https://www.goodreads.com/genres/cw-iuka-corinth
cw-stones-river,3,https://www.goodreads.com/genres/cw-stones-river
cw-west-va,45,https://www.goodreads.com/genres/cw-west-va
cyberpunk,86553,https://www.goodreads.com/genres/cyberpunk
cycling,13584,https://www.goodreads.com/genres/cycling
czech-literature,17769,https://www.goodreads.com/genres/czech-literature
dakar,460,https://www.goodreads.com/genres/dakar
danish,93200,https://www.goodreads.com/genres/danish
dark,858265,https://www.goodreads.com/genres/dark
dark-fantasy,220477,https://www.goodreads.com/genres/dark-fantasy
dc-comics,147865,https://www.goodreads.com/genres/dc-comics
death,587738,https://www.goodreads.com/genres/death
deception,60768,https://www.goodreads.com/genres/deception
democratic-republic-of-the-congo,1158,https://www.goodreads.com/genres/democratic-republic-of-the-congo
demons,294267,https://www.goodreads.com/genres/demons
denialism,491,https://www.goodreads.com/genres/denialism
denmark,27229,https://www.goodreads.com/genres/denmark
design,219923,https://www.goodreads.com/genres/design
detective,455005,https://www.goodreads.com/genres/detective
diary,50433,https://www.goodreads.com/genres/diary
dictionaries,14008,https://www.goodreads.com/genres/dictionaries
diets,2499,https://www.goodreads.com/genres/diets
dinosaurs,34307,https://www.goodreads.com/genres/dinosaurs
disability,177973,https://www.goodreads.com/genres/disability
disability-studies,9220,https://www.goodreads.com/genres/disability-studies
disabled-communities,1079,https://www.goodreads.com/genres/disabled-communities
discipleship,34454,https://www.goodreads.com/genres/discipleship
disease,35629,https://www.goodreads.com/genres/disease
distrust,334,https://www.goodreads.com/genres/distrust
divination,13272,https://www.goodreads.com/genres/divination
division,2061,https://www.goodreads.com/genres/division
divorce,42707,https://www.goodreads.com/genres/divorce
djibouti,848,https://www.goodreads.com/genres/djibouti
doctor-who,141100,https://www.goodreads.com/genres/doctor-who
dogs,160185,https://www.goodreads.com/genres/dogs
domestic-science,1227,https://www.goodreads.com/genres/domestic-science
drag,5248,https://www.goodreads.com/genres/drag
dragonlance,37846,https://www.goodreads.com/genres/dragonlance
dragons,321698,https://www.goodreads.com/genres/dragons
drama,1596162,https://www.goodreads.com/genres/drama
drawing,26766,https://www.goodreads.com/genres/drawing
dressmaking,1021,https://www.goodreads.com/genres/dressmaking
drinking,12571,https://www.goodreads.com/genres/drinking
dungeons-and-dragons,31175,https://www.goodreads.com/genres/dungeons-and-dragons
dungeons-and-dragons-manuals,461,https://www.goodreads.com/genres/dungeons-and-dragons-manuals
dutch-literature,38749,https://www.goodreads.com/genres/dutch-literature
dying-earth,4783,https://www.goodreads.com/genres/dying-earth
dyscalculia,506,https://www.goodreads.com/genres/dyscalculia
